PatchName,mean_r,mean_g,mean_b,std_r,std_g,std_b
TCGA-3L-AA1B_nonMSIH_x10800_y21216_patch00199.png,169.88,124.2,160.85,48.19,52.39,42.62
TCGA-3L-AA1B_nonMSIH_x12336_y21216_patch00272.png,167.53,117.81,155.99,46.94,46.56,39.42
TCGA-3L-AA1B_nonMSIH_x13872_y13024_patch00330.png,232.59,220.22,226.6,27.78,39.04,29.6
TCGA-3L-AA1B_nonMSIH_x13872_y19680_patch00340.png,182.82,139.0,171.74,46.26,49.39,39.72
TCGA-3L-AA1B_nonMSIH_x15408_y9440_patch00409.png,231.97,220.07,226.93,26.48,37.97,28.34
TCGA-3L-AA1B_nonMSIH_x16432_y14048_patch00484.png,177.53,119.7,156.37,50.23,51.5,44.04
TCGA-3L-AA1B_nonMSIH_x16944_y9952_patch00510.png,236.42,226.31,231.04,15.74,26.86,20.34
TCGA-3L-AA1B_nonMSIH_x19504_y9952_patch00675.png,175.47,109.64,150.28,48.57,39.2,34.82
TCGA-3L-AA1B_nonMSIH_x21040_y14048_patch00789.png,165.56,110.06,145.66,59.53,60.45,52.69
TCGA-3L-AA1B_nonMSIH_x21040_y18656_patch00798.png,181.4,137.38,169.92,49.1,56.77,44.22
TCGA-3L-AA1B_nonMSIH_x21040_y736_patch00765.png,187.2,183.87,183.58,86.24,87.6,87.33
TCGA-3L-AA1B_nonMSIH_x22064_y7904_patch00855.png,214.83,162.91,188.41,34.86,42.6,34.14
TCGA-3L-AA1B_nonMSIH_x22576_y17632_patch00912.png,165.73,119.2,158.14,46.12,48.47,38.45
TCGA-3L-AA1B_nonMSIH_x23088_y4320_patch00924.png,230.58,214.63,221.59,21.82,34.94,28.54
TCGA-3L-AA1B_nonMSIH_x24624_y14560_patch01035.png,178.86,131.72,167.7,44.24,45.98,36.65
TCGA-3L-AA1B_nonMSIH_x24624_y8928_patch01025.png,198.81,141.96,175.25,33.35,36.93,30.5
TCGA-3L-AA1B_nonMSIH_x25648_y18144_patch01097.png,172.16,129.35,164.81,47.75,48.92,40.53
TCGA-3L-AA1B_nonMSIH_x28208_y12512_patch01243.png,156.26,113.34,152.25,50.87,55.73,45.3
TCGA-3L-AA1B_nonMSIH_x28208_y13024_patch01244.png,142.04,97.66,139.94,49.74,51.61,43.99
TCGA-3L-AA1B_nonMSIH_x28720_y16608_patch01287.png,166.12,121.06,159.55,46.37,47.78,38.94
TCGA-3L-AA1B_nonMSIH_x29232_y19680_patch01330.png,153.68,115.46,154.75,45.89,50.69,41.42
TCGA-3L-AA1B_nonMSIH_x31792_y2784_patch01472.png,214.59,183.02,201.44,37.56,52.11,39.11
TCGA-3L-AA1B_nonMSIH_x33328_y14560_patch01591.png,157.05,119.69,157.17,50.04,58.45,45.0
TCGA-3L-AA1B_nonMSIH_x33840_y3808_patch01607.png,220.79,193.77,209.03,33.47,51.38,37.66
TCGA-3L-AA1B_nonMSIH_x33840_y5344_patch01610.png,211.33,190.24,204.47,51.28,67.88,52.19
TCGA-3L-AA1B_nonMSIH_x34352_y14560_patch01659.png,169.03,119.92,157.7,47.37,48.84,39.38
TCGA-3L-AA1B_nonMSIH_x37424_y17120_patch01797.png,179.51,136.63,169.12,49.49,57.5,45.21
TCGA-3L-AA1B_nonMSIH_x38960_y15584_patch01834.png,208.37,179.36,198.5,42.99,52.3,40.66
TCGA-3L-AA1B_nonMSIH_x8752_y22240_patch00119.png,158.42,111.79,153.19,41.84,41.26,33.44
